countyFIPS,County Name,State,population
0,Statewide Unallocated,NJ,0
34001,Atlantic County,NJ,263670
34003,Bergen County,NJ,932202
34005,Burlington County,NJ,445349
34007,Camden County,NJ,506471
34009,Cape May County,NJ,92039
34011,Cumberland County,NJ,149527
34013,Essex County,NJ,798975
34015,Gloucester County,NJ,291636
34017,Hudson County,NJ,672391
34019,Hunterdon County,NJ,124371
34021,Mercer County,NJ,367430
34023,Middlesex County,NJ,825062
34025,Monmouth County,NJ,618795
34027,Morris County,NJ,491845
34029,Ocean County,NJ,607186
34031,Passaic County,NJ,501826
34033,Salem County,NJ,62385
34035,Somerset County,NJ,328934
34037,Sussex County,NJ,140488
34039,Union County,NJ,556341
34041,Warren County,NJ,105267
